no,material,x,ancient_grs,unit_grs
1,"Basalt, gn.",2,273.6,136.8
2,"Syenite, gr.",5,685.8,137.2
3,"Basalt, br.",20,2752,137.6
4,"Basalt, br.",10,1377,137.7
5,"Basalt, bl.",2,276.0,138.0
6,Bronze,1,138.0,138.0
7,"Syenite, bl.",20,2763.,138.1
8,"Basalt, br.",2,276.5,138.2
9,"Basalt, br.",10,1383.1,138.3
10,"Syenite, bl.",2,276.8,138.4
11,Limestone,1,138.5,138.5
12,Alabaster,5,693.3,138.7
13,Syenite,2,277.6,138.8
14,"Syenite, gr.",1,138.9,138.9
15,"Basalt, bl.",1,138.9,138.9
16,"Syenite, bl.",1/2,69.5,139.0
17,Bronze,5,695.,139.0
18,"Basalt, br.",50,6953,139.1
19,Limestone,1/2,69.6,139.2
20,"Basalt, bl.",50,6971,139.4
21,"Basalt, br.",20,2788.3,139.4
22,"Basalt, bl.",1/2,69.7,139.4
23,Limestone,200,27900.,139.5
24,Limestone,2,279,139.5
25,"Basalt, br.",20,2794,139.7
26,"Basalt, br.",20,2798.7,139.9
27,Serpentine,20,2798,139.9
28,Alabaster,5,699.5,139.9
29,Sandstone,10,1400,140.0
30,Alabaster,10,1400,140.0
31,Bronze,5,700,140.0
33,"Syenite, bl.",1,140.0,140.0
36,"Basalt, br.",2,280.4,140.2
37,"Basalt, br.",10,1403.3,140.3
38,"Basalt, gn.",2,281.0,140.5
39,"Syenite, bl.",5,703.0,140.6
40,"Basalt, br.",50,7040,140.8
41,Bronze,5,704.0,140.8
42,"Granite, red",500,70440,140.9
43,"Basalt, bl.",5,704.5,140.9
44,Limestone,10,1410,141.0
45,"Syenite, gr.",2,282.1,141.1
46,"Basalt, br.",10,1414.2,141.4
47,Bronze,2,282.7,141.4
48,"Basalt, br.",2,283.0,141.5
49,"Basalt, bl.",20,2831.5,141.6
50,"Hæmatite, br.",2,283.4,141.7
51,"Basalt, bl.",200,28400,142.0
52,Limestone,20,2840,142.0
53,"Basalt, br.",2,284.0,142.0
55,"Syenite, bl.",2,284.2,142.1
56,Alabaster,10,1422,142.2
57,"Basalt, br.",5,711,142.2
58,"Hæmatite, br.",5,711.5,142.3
59,"Syenite, gn.",50,7117.,142.3
60,"Bronze, L.",5,712.,142.4
61,"Basalt, br.",4,570.7,142.7
62,Limestone,10,1428.0,142.8
63,Alabaster,5,714.0,142.8
64,"Syenite, bl.",10,1428.6,142.9
65,Syenite,2,285.8,142.9
66,Bronze,2,286.0,143.0
67,"Basalt, bl.",1,143.0,143.0
68,"Syenite, bl.",10,1431.0,143.1
69,"Basalt, bl.",5,715.7,143.1
70,"Basalt, bl.",2,286.6,143.3
71,Syenite,5,717.5,143.5
72,"Syenite, gn.",20,2872.8,143.6
