no,material,form,present_grs,ch,ancient_grs,x,unit_grs_printed,unit_grs,unit_to_tenth,correction,description
1,"Basalt, gn.",32—33,273.6,,273.6,2,136.8,136.8,TRUE,,Belongs to kat and not drachma; there is not a single drachma weight so finely formed on the domed type which is characteristic of the kat by its purity of outline.
2,"Syenite, gr.",20,685.8,,685.8,5,137.2,137.2,TRUE,,"Is of a type much commoner in kats than in drachmae; also the peculiar syenite, white felspar in green-black hornblende, is only known in three other kats (Nos. 45, 100, and 156), and in one of 80-grain standard (No. 481.)"
3,"Basalt, br.",33,2738.4,,2752,20,137.6,137.6,TRUE,,Is a kat for the same reasons as No. 1.
4,"Basalt, br.",24—26,1370.9,,1377,10,137.7,137.7,TRUE,,More of the kat than of the drachma type.
5,"Basalt, bl.",33,276.0,,276.0,2,138.0,138.0,TRUE,,As 1.
6,Bronze,92,138.8,,138.0,1,138.0,138.0,TRUE,,"A peculiar turned piece of bronze, never attached to anything, nor pierced; probably a weight."
7,"Syenite, bl.",37—40,2759.6,,2763.,20,138.1,138.1,TRUE,,might be drachma weights by their form; but are beyond a likely range of drachma.
8,"Basalt, br.",21—39,276.5,,276.5,2,138.2,138.2,TRUE,,might be drachma weights by their form; but are beyond a likely range of drachma.
9,"Basalt, br.",12,1383.1,,1383.1,10,138.3,138.3,TRUE,,
10,"Syenite, bl.",38,276.8,,276.8,2,138.4,138.4,TRUE,,
11,Limestone,31,138.4,,138.5,1,138.5,138.5,TRUE,,"A peculiar limestone, brownish-white, with fine grey veining: only one other of this colouring and form, No. 208, but not from exactly the same piece of stone. I have a quarter kat from Syria (?) of the same stone, but pyramidal in form."
12,Alabaster,26—27,691.9,,693.3,5,138.7,138.7,TRUE,,
13,Syenite,27—35,277.5,,277.6,2,138.8,138.8,TRUE,,"From a Ptolemaic house about the IIIrd cent. B.C., on the east side of the excavated part of the town (find 93). Burnt. With Nos. 65, 281, and 475."
14,"Syenite, gr.",33,138.9,,138.9,1,138.9,138.9,TRUE,,
15,"Basalt, bl.",27—33,138.9,,138.9,1,138.9,138.9,TRUE,,
16,"Syenite, bl.",27,69.5,,69.5,1/2,139.0,139.0,TRUE,,
17,Bronze,25—36,709.3,14,695.,5,139.0,139.0,TRUE,,
18,"Basalt, br.",34,6953,,6953,50,139.1,139.1,TRUE,,
19,Limestone,22—23,69.6,,69.6,1/2,139.2,139.2,TRUE,,Hard grey limestone.
20,"Basalt, bl.",37,6968,,6971,50,139.4,139.4,TRUE,,
21,"Basalt, br.",38,2787.8,,2788.3,20,139.4,139.4,TRUE,,
22,"Basalt, bl.",38—44,69.7,,69.7,1/2,139.4,139.4,TRUE,,
23,Limestone,25—33,27615.,,27900.,200,139.5,139.5,TRUE,,"Nummulitic limestone, very fossiliferous. Weathered surface."
24,Limestone,20,268.3,11,279,2,139.5,139.5,TRUE,,"Hard dark brown-grey limestone with holes, and a thin crust of white decomposition (?)"
25,"Basalt, br.",18—38,2791.8,,2794,20,139.7,139.7,TRUE,,
26,"Basalt, br.",18—38,2798.7,,2798.7,20,139.9,139.9,TRUE,,
27,Serpentine,19—23,2758.2,,2798,20,139.9,139.9,TRUE,,
28,Alabaster,36—44,699.5,,699.5,5,139.9,139.9,TRUE,,
29,Sandstone,38,1398.7,,1400,10,140.0,140.0,TRUE,,
30,Alabaster,38,1372.0,28,1400,10,140.0,140.0,TRUE,,
31,Bronze,33,720.9,21,700,5,140.0,140.0,TRUE,,
32,Bronze,33,77.1,63,140,1,140.,140,FALSE,,
33,"Syenite, bl.",38,139.8,,140.0,1,140.0,140.0,TRUE,,
34,Bronze,33,139.9,14,140.0,1,140.,140,FALSE,,
35,"Bronze, bl.",52,26.0,2,28.0,1/5,140.,140,FALSE,,"A peculiar black bronze, which throws off the oxide very freely, having a polished black face below it; only found in Nos. 94 and 119, both of this form, and perhaps No. 107."
36,"Basalt, br.",23—33,280.4,,280.4,2,140.2,140.2,TRUE,,
37,"Basalt, br.",23,1399.4,,1403.3,10,140.3,140.3,TRUE,,
38,"Basalt, gn.",18,280.8,,281.0,2,140.5,140.5,TRUE,,
39,"Syenite, bl.",18,699.0,,703.0,5,140.6,140.6,TRUE,,
40,"Basalt, br.",18,6333.,B,7040,50,140.8,140.8,TRUE,,
41,Bronze,33,699.7,,704.0,5,140.8,140.8,TRUE,,
42,"Granite, red",20—23,70440,,70440,500,140.9,140.9,TRUE,,"Hammer dressed, without any polish; irregular below."
43,"Basalt, bl.",23—27,702.5,,704.5,5,140.9,140.9,TRUE,,
44,Limestone,60,1342.7,70,1410,10,141.0,141.0,TRUE,,"Soft white limestone, flaky."
45,"Syenite, gr.",33,282.1,,282.1,2,141.1,141.1,TRUE,,
46,"Basalt, br.",39,1412.0,,1414.2,10,141.4,141.4,TRUE,,
47,Bronze,33,284.1,,282.7,2,141.4,141.4,TRUE,,
48,"Basalt, br.",33,283.0,,283.0,2,141.5,141.5,TRUE,,
49,"Basalt, bl.",27,2827.8,,2831.5,20,141.6,141.6,TRUE,,
50,"Hæmatite, br.",1,283.4,,283.4,2,141.7,141.7,TRUE,,
51,"Basalt, bl.",33,28140,,28400,200,142.0,142.0,TRUE,,"A fine weight, polished, but chipped."
52,Limestone,11—12,2827.8,,2840,20,142.0,142.0,TRUE,,Soft white limestone; from Kom Afrin.
53,"Basalt, br.",26—33,283.2,,284.0,2,142.0,142.0,TRUE,,
54,Bronze,26,144.0,2,142.,1,142.,142,FALSE,,
55,"Syenite, bl.",40,284.2,,284.2,2,142.1,142.1,TRUE,,
