no,row,material,form,grs,x,unit_printed,unit_grs,correction,detail
3076,entry,LIM.,919,542.,4,135.5,135.5,,-2
3077,entry,BAS.,33,275.1,2,137.5,137.5,,
3078,entry,BAS.,324,137.6,1,.6,137.6,,
3079,entry,BAS.,393,137.6,1,.6,137.6,,
3080,entry,DURITE,268,137.6,1,.6,137.6,,
3081,entry,GY.MARB.,32,1376.0,10,.6,137.6,,
3082,entry,GY.SERP.,373,1375.7,10,.6,137.6,,
3083,entry,BAS.,358,2752.0,20,.6,137.6,,
3083,continuation,,,3440.1,25,.6,137.6,,SEE K
3084,entry,GY.SY.,9,6878.,50,.6,137.6,,GHUROB
3085,entry,HAEM.,422,6878.,50,.6,137.6,,
3086,entry,BK.QTZOSE,439,13761.,100,.6,137.6,,
3087,entry,BAS.,256,45.9,1/3,.7,137.7,,
3088,entry,BAS.,262,137.7,1,.7,137.7,,
3089,entry,BAS.,487,1377.0,10,.7,137.7,,XVIII
3090,entry,BAS.,406,1377.4,10,.7,137.7,,
3091,entry,BAS.,422,1376.6,10,.7,137.7,,
3092,entry,GY.QTZOSE,384,13770.,100,.7,137.7,,-27
3093,entry,BK.JASP.,364,68.9,1/2,.8,137.8,,
3094,entry,QTZITE,347,2754.5,20,.8,137.8,,
3094,continuation,,,3445.4,25,.8,137.8,,SEE K
3095,entry,QTZITE,344,13776.,100,.8,137.8,,
3096,entry,BAS.,792,137.9,1,.9,137.9,,XVIII
3097,entry,BAS.,32,137.9,1,.9,137.9,,
3098,entry,BAS.,264,275.8,2,.9,137.9,,
3099,entry,BAS.,313,275.8,2,.9,137.9,,
3099,continuation,,,3447.0,25,.9,137.9,,SEE K
3100,entry,DURITE,324,46.0,1/3,138.0,138.0,,
3101,entry,BAS.,380,1380.0,10,.0,138.0,,
3102,entry,BR.QTZITE,442,55200.,400,.0,138.0,,cartouche -6600 HAA.AB.RA
3103,entry,ALAB.,373,690.7,5,.1,138.1,,
3104,entry,BAS.,794,1380.7,10,.1,138.1,,XVIII
3105,entry,BAS.,141,1381.1,10,.1,138.1,,
