no,row,section,form,now_grs,change,original_grs,x,unit_printed,unit_grs,detail
4915,entry,stater,333,258.5,14,267,2,133.5,133.5,
4916,entry,stater,336,270.0,2.8,267,2,,133.5,
4917,entry,stater,60,70.5,3.5,67,1/2,134.,134.0,SLATE
4918,entry,stater,60,67.3,.7,67,1/2,,134.0,ALEX.
4919,entry,stater,60,133.6,.9,134,1,,134.0,
4920,entry,stater,SNAKE HEAD,134.6,1,134,1,,134.0,phi IX
4921,entry,stater,256,134.9,2.9,134,1,,134.0,
4922,entry,stater,58,133.0,2.5,134,1,,134.0,
4923,entry,stater,333,132.9,3.5,134,1,,134.0,
4924,entry,stater,301,136.5,2.5,134,1,,134.0,
4925,entry,stater,BULL HEAD,134.6,.3,134.3,1,,134.0,phi IX
4926,entry,stater,MAN HEAD,270.8,2.3,268.5,2,,134.0,phi IX
4927,entry,stater,53,271.0,2.8,268,2,,134.0,RIQQEH
4928,entry,stater,58,540.2,12,536,4,,134.0,SMYRNA
4929,entry,stater,26,674.8,4.6,670,5,,134.0,
4930,entry,stater,265,668.0,2.,670,5,,134.0,MEM.
4931,entry,stater,74,268.5,0,268.5,2,134.2,134.2,delta=4 QUS
4932,entry,stater,52,415.0,12.,403,3,.3,134.3,III GY.STER
4933,entry,stater,314,263.4,11.5,269,2,.5,134.5,
4934,entry,stater,58,277.1,8.,269,2,.5,134.5,ALEX
4935,entry,stater,327,271.6,1.9,269,2,,134.5,
4936,entry,stater,60,543.7,6.,538,4,,134.5,
4937,entry,stater,338,669.7,5.6,673.5,5,.7,134.7,
4938,entry,stater,WOLF HEAD,1345.8,2.,1348,10,.8,134.8,HAEM T. phi
4939,entry,stater,BULL HEAD,1354.1,6,1348,10,.8,134.8,AMARNA phi
4940,entry,stater,321,44.5,1.2,45,1/3,135.,135.0,
4941,entry,stater,326,45.1,1.3,45,1/3,,135.0,
4942,entry,stater,623,135.3,.7,135,1,,135.0,
4943,entry,stater,927,270.4,4.5,270,2,,135.0,
4944,entry,stater,3255,679.3,9.5,675,5,,135.0,GHUROB
4945,entry,stater,265,667.8,27.,675,5,,135.0,
4946,entry,stater,605,677.1,1.,677,5,135.4,135.4,ASKLEPIO phi IX
4946d,entry,stater,9156,270.4,2.4,271,2,.5,135.5,
4947,entry,stater,64,17.0,0,17.0,1/8,136,136.0,
4948,entry,stater,575,24.3,1.6,22.7,1/6,,136.0,ALEX.
4949,entry,stater,60,34.0,.1,34,1/4,,136.0,
4950,entry,stater,60,35.1,.7,34,1/4,,136.0,
4951,entry,stater,63,68.5,1.2,68,1/2,,136.0,
4952,entry,stater,622,68.3,.4,68,1/2,,136.0,
4953,entry,stater,622,135.6,3.0,136,1,,136.0,
4954,entry,stater,262,134.8,1.5,136,1,,136.0,ALEX.
4955,entry,stater,58,137.0,.7,136,1,,136.0,
4956,entry,stater,58,274.3,2.,272,2,,136.0,
4957,entry,stater,58,540.8,3.1,544,4,,136.0,SMYRNA
4958,entry,stater,60,2041.0,17.,2040,15,,136.0,
4959,entry,stater,623,277.1,4.5,272.5,2,,136.0,
4960,entry,stater,621,33.3,1.1,34.2,1/4,136.8,136.8,
4961,entry,stater,57,136.5,2.5,137,1,137,137.0,QUS
4962,entry,stater,623,548.8,10,539,8,137.2,137.2,III H ALEX
4963,entry,stater,623,23.5,.5,23.,1/6,138.,138.0,
4964,entry,stater,254,45.6,1.2,46.,1/3,,138.0,
4965,entry,stater,58,67.4,3.3,69,1/2,,138.0,ALEX.
4966,entry,stater,SEED,69.5,.1,69,1/2,,138.0,SICILY
4967,entry,stater,60,140.0,2.3,138,1,,138.0,
4968,entry,stater,58,138.3,.3,138,1,,138.0,ALEX.
4969,entry,stater,622,71.1,.5,71,1/2,142.,142.0,A=1
4970,entry,stater,58,144.7,3.,142,1,,142.0,
4971,entry,stater,14,11.9,0,11.9,1/12,142.8,142.8,SMYRNA
4972,entry,stater,58,72.4,.7,72,1/2,144.,144.0,ALEX.
4973,entry,stater,60,289.0,4.5,289,2,144.5,144.5,
4973d,entry,stater,625,74.7,3.2,71.5,1/2,143,143.0,ALEX
4974,entry,stater,62,24.0,.9,24.1,1/6,144.6,144.6,
4975,entry,stater,60,145.0,3.7,145,1,145.,145.0,
4976,entry,stater,58,145.7,2.3,147,1,147.,147.0,
4977,entry,stater,60,12.2,.3,12.3,1/12,147.6,147.6,
4978,entry,qedet,324,141.5,4.8,137.,1,137.,137.0,
4978d,duplicate,qedet,337,690.3,10,686,5,.2,137.2,
4979,entry,qedet,26,69.6,.7,69.,1/2,138.,138.0,
4979d,duplicate,qedet,344,141.1,3.,138.,1,,138.0,
4980,entry,qedet,335,684.2,10.,690,5,,138.0,
4981,entry,qedet,33,66.6,4.3,69.,1/2,,138.0,O mark
4982,entry,qedet,326,696.8,9.7,694.3,5,.9,138.9,LEAD FILLING
4982d,duplicate,qedet,32,148.5,9.,139.,1,139.,139.0,
4983,entry,qedet,494,140.0,1.,139.,1,,139.0,
4984,entry,qedet,235,136.0,2.8,139.,1,,139.0,
4985,entry,qedet,262,272.7,7.5,278,2,,139.0,TREASURY glyph
4986,entry,qedet,FROG,277.2,2.3,278,2,,139.0,
4987,entry,qedet,338,699.5,3.,696,5,.2,139.2,
4987d,duplicate,qedet,265,692.4,8.,696,5,.2,139.2,
4988,entry,qedet,262,47.1,.7,46.5,1/3,.5,139.5,
4989,entry,qedet,26,281.5,12.,279,2,,139.5,
4990,entry,qedet,338,280.8,2,279,2,,139.5,
4991,entry,qedet,LION,27866.,30,27900,200,,139.5,LIM.
4992,entry,qedet,339,140.4,2.6,140,1,140.0,140.0,
4993,entry,qedet,334,140.5,2.6,140,1,,140.0,
4993d,duplicate,qedet,338,150.7,11.,140,1,,140.0,
4993d,duplicate,qedet,338,281.7,5.,280,2,,140.0,
4993d,duplicate,qedet,33,299.7,20.,280,2,,140.0,
4994,entry,qedet,265,672.8,30.,700,5,,140.0,
4994d,duplicate,qedet,324,692.4,12.,700,5,,140.0,
4995,entry,qedet,334,702.8,3.,700,5,,140.0,DEFENEH
4995d,duplicate,qedet,324,708.0,18.,702,5,140.4,140.4,
4996,entry,qedet,333,281.7,5.,281,2,.5,140.5,
4997,entry,qedet,331,46.8,1.2,47,1/3,141.,141.0,
4998,entry,qedet,623,47.1,.5,47,1/3,,141.0,LEAD
4999,entry,qedet,428,140.5,2.1,141,1,,141.0,
4999d,duplicate,qedet,324,143.5,3.6,141,1,,141.0,
4999d,duplicate,qedet,23,146.1,5.2,141,1,,141.0,
4999d,duplicate,qedet,338,138.0,15.,141,1,,141.0,
4999d,duplicate,qedet,33,149.6,8.7,141,1,,141.0,MEM.
5000,entry,qedet,23,280.2,2.,282,2,,141.0,
5001,entry,qedet,366,282.0,6.,282,2,,141.0,
5002,entry,qedet,884,711.4,5.,706,5,141.2,141.2,LEAD
5003,entry,qedet,262,713.9,15.,707,5,.4,141.4,LEAD FILLING
