no,unit_grs
3076,135.5
3077,137.5
3078,137.6
3079,137.6
3080,137.6
3081,137.6
3082,137.6
3083,137.6
3084,137.6
3085,137.6
3086,137.6
3087,137.7
3088,137.7
3089,137.7
3090,137.7
3091,137.7
3092,137.7
3093,137.8
3094,137.8
3095,137.8
3096,137.9
3097,137.9
3098,137.9
3099,137.9
3100,138.0
3101,138.0
3102,138.0
3103,138.1
3104,138.1
3105,138.1
3106,138.2
3107,138.2
3108,138.2
3109,138.2
3110,138.2
3111,138.2
3112,138.2
3113,138.2
3114,138.2
3115,138.2
3116,138.3
3117,138.3
3118,138.3
3119,138.3
3120,138.3
3121,138.3
3122,138.3
3123,138.3
3124,138.4
3125,138.4
3126,138.4
3127,138.4
3128,138.4
3129,138.4
3130,138.4
3131,138.5
3132,138.5
3133,138.5
3134,138.5
3135,138.5
3136,138.6
3137,138.6
3138,138.6
3139,138.6
3140,138.6
3141,138.6
3142,138.6
3143,138.7
3144,138.7
3145,138.7
3146,138.7
3147,138.8
3148,138.8
3149,138.8
3150,138.8
3151,138.8
3152,138.9
3153,138.9
3154,138.9
3155,138.9
3156,139.0
3157,139.0
3158,139.0
3159,139.0
3160,139.0
3160A,139.0
3161,139.0
3162,139.0
3163,139.1
3164,139.1
3165,139.1
3166,139.1
3167,139.1
3168,139.1
3169,139.1
3170,139.1
3171,139.2
3172,139.2
3173,139.2
3174,139.2
3175,139.2
3176,139.2
3177,139.2
3178,139.3
3179,139.3
3180,139.3
3181,139.3
3182,139.3
3183,139.3
3184,139.4
3185,139.4
3186,139.4
3187,139.4
3188,139.4
3189,139.4
3189A,139.5
3190,139.5
3191,139.5
3192,139.5
3193,139.5
3194,139.5
3195,139.5
3196,139.5
3197,139.6
3198,139.6
3199,139.6
3200,139.6
3201,139.6
3202,139.6
3203,139.7
3204,139.7
3205,139.7
3206,139.7
3207,139.7
3208,139.8
3209,139.8
3210,139.8
3211,139.8
3212,139.8
3213,139.8
3214,139.8
3215,139.8
3216,139.8
3217,139.8
3218,139.8
3219,139.8
3220,139.9
3221,139.9
3222,139.9
3223,140.0
3224,140.0
3225,140.0
3226,140.0
3227,140.0
3228,140.0
3229,140.1
3230,140.1
3231,140.1
3232,140.1
3233,140.1
3234,140.2
3235,140.2
3236,140.2
3237,140.2
3238,140.2
3239,140.2
3240,140.3
3241,140.3
3242,140.3
3243,140.3
3244,140.3
3245,140.4
3246,140.4
3247,140.4
3248,140.4
3249,140.4
3250,140.5
3251,140.5
3252,140.5
3253,140.5
3254,140.5
3255,140.5
3256,140.5
3257,140.6
3258,140.6
3259,140.6
3260,140.6
3261,140.6
3262,140.7
3263,140.7
3264,140.7
3265,140.8
3266,140.8
3267,140.8
3268,140.8
3269,140.8
3270,140.9
3271,140.9
3272,140.9
3273,141.0
3274,141.0
3275,141.0
3276,141.0
3277,141.0
3278,141.0
3279,141.0
3280,141.0
3281,141.0
3282,141.1
3283,141.1
3284,141.1
3285,141.2
3286,141.2
3287,141.2
3288,141.2
3289,141.2
3290,141.2
3291,141.2
3292,141.3
3292A,141.3
3293,141.3
3294,141.3
3295,141.3
3295A,141.3
3296,141.3
3297,141.4
3298,141.4
3299,141.4
3300,141.4
3301,141.4
3302,141.4
3303,141.4
3304,141.4
3305,141.4
3306,141.5
3307,141.5
3308,141.5
3309,141.5
3310,141.5
3311,141.6
3312,141.6
3313,141.6
3314,141.6
3315,141.6
3316,141.6
3317,141.6
3318,141.6
3319,141.6
3320,141.6
3321,141.7
3322,141.7
3323,141.7
3324,141.7
3325,141.8
3325A,141.8
3326,141.8
3327,141.8
3328,141.8
3329,141.8
3330,141.8
3331,141.8
3332,141.9
3333,141.9
3334,141.9
3335,141.9
3336,141.9
3337,141.9
3337A,142.0
3338,142.0
3339,142.0
3340,142.0
3341,142.0
3342,142.0
3343,142.0
3344,142.0
3345,142.0
3346,142.1
3347,142.1
3347A,142.2
3348,142.2
3349,142.2
3350,142.2
3351,142.2
3352,142.2
3353,142.2
3354,142.2
3355,142.2
3356,142.2
3357,142.2
3358,142.2
3359,142.3
3360,142.3
3360A,142.3
3361,142.3
3362,142.3
3363,142.4
3364,142.4
3365,142.4
3365A,142.4
3366,142.4
3367,142.5
3368,142.5
3369,142.5
3370,142.5
3371,142.5
3372,142.6
3373,142.6
3374,142.6
3375,142.6
3376,142.6
3377,142.6
3378,142.6
3379,142.6
3380,142.6
3381,142.6
3382,142.6
3383,142.7
3384,142.7
3385,142.7
3386,142.7
3387,142.7
3388,142.7
3389,142.8
3390,142.8
3391,142.8
3392,142.8
3393,142.8
3394,142.8
3395,142.8
3396,142.9
3397,142.9
3398,142.9
3399,143.0
3400,143.0
3401,143.0
3402,143.0
3403,143.1
3404,143.1
3405,143.2
3406,143.2
3407,143.2
3408,143.3
3409,143.3
3410,143.3
3411,143.3
3412,143.3
3413,143.4
3414,143.4
3415,143.4
3416,143.5
3417,143.5
3418,143.5
3419,143.5
3420,143.5
3421,143.5
3422,143.5
3423,143.6
3424,143.6
3425,143.6
3426,143.6
3427,143.7
3428,143.7
3429,143.7
3430,143.7
3431,143.7
3432,143.8
3433,143.8
3434,143.8
3435,143.8
3436,143.8
3437,143.8
3438,143.8
3439,143.8
3440,143.8
3441,143.9
3442,143.9
3443,143.9
3444,143.9
3445,143.9
3446,143.9
3447,144.0
3448,144.0
3449,144.0
3450,144.0
3451,144.0
3452,144.0
3453,144.0
3454,144.0
3455,144.0
3456,144.0
3457,144.0
3458,144.0
3459,144.0
3460,144.1
3461,144.1
3462,144.1
3463,144.1
3464,144.1
3465,144.2
3466,144.2
3467,144.2
3468,144.2
3469,144.2
3470,144.2
3471,144.3
3472,144.3
3473,144.3
3474,144.4
3475,144.4
3476,144.4
3477,144.4
3478,144.4
3479,144.4
3480,144.4
3481,144.4
3482,144.4
3483,144.4
3484,144.4
3485,144.4
3486,144.5
3487,144.5
3488,144.5
3489,144.6
3490,144.6
3491,144.6
3492,144.6
3493,144.6
3494,144.6
3495,144.7
3496,144.7
3497,144.7
3498,144.7
3499,144.8
3500,144.8
3501,144.8
3502,144.8
3503,144.8
3504,144.8
3505,144.9
3506,144.9
3507,144.9
3508,144.9
3509,144.9
3510,144.9
3511,144.9
3512,144.9
3513,144.9
3514,145.0
3515,145.0
3516,145.0
3517,145.0
3518,145.0
3519,145.1
3520,145.1
3521,145.1
3522,145.1
3523,145.2
3524,145.2
3525,145.2
3526,145.2
3527,145.2
3528,145.2
3529,145.3
3529A,145.3
3530,145.3
3531,145.3
3532,145.4
3533,145.4
3534,145.4
3535,145.4
3536,145.4
3537,145.5
3538,145.5
3539,145.5
3540,145.5
3541,145.5
3542,145.5
3543,145.6
3544,145.6
3545,145.6
3546,145.6
3547,145.6
3548,145.6
3549,145.6
3550,145.6
3551,145.7
3552,145.7
3553,145.7
3554,145.7
3555,145.8
3556,145.8
3557,145.8
3558,145.8
3559,145.8
3560,145.9
3561,145.9
3562,145.9
3563,145.9
3564,146.0
3565,146.0
3566,146.0
3567,146.0
3568,146.0
3569,146.0
3570,146.0
3571,146.0
3572,146.0
3573,146.0
3574,146.0
3575,146.0
3576,146.0
3577,146.0
3578,146.0
3579,146.1
3580,146.1
3581,146.1
3582,146.2
3583,146.2
3584,146.2
3585,146.2
3586,146.2
3587,146.2
3588,146.2
3589,146.2
3590,146.2
3591,146.3
3592,146.3
3593,146.3
3594,146.3
3595,146.3
3596,146.3
3597,146.4
3598,146.4
3599,146.4
3600,146.4
3601,146.4
3602,146.4
3603,146.5
3604,146.5
3605,146.5
3606,146.5
3607,146.6
3608,146.6
3609,146.6
3610,146.6
3611,146.6
3612,146.6
3613,146.7
3614,146.7
3615,146.7
3616,146.7
3617,146.7
3618,146.7
3619,146.8
3620,146.8
3621,146.8
3622,146.8
3623,146.8
3624,146.9
3625,146.9
3626,146.9
3627,146.9
3628,146.9
3629,146.9
3630,147.0
3631,147.0
3632,147.0
3633,147.0
3634,147.0
3635,147.0
3636,147.0
3637,147.0
3638,147.0
3639,147.0
3640,147.0
3641,147.0
3642,147.1
3643,147.1
3644,147.1
3645,147.1
3646,147.1
3647,147.1
3648,147.2
3648A,147.2
3649,147.2
3650,147.2
3651,147.2
3652,147.2
3653,147.2
3654,147.3
3655,147.3
3656,147.4
3657,147.4
3658,147.4
3659,147.4
3660,147.4
3661,147.4
3662,147.4
3663,147.4
3664,147.5
3665,147.5
3666,147.5
3667,147.5
3668,147.5
3669,147.6
3670,147.6
3671,147.6
3672,147.6
3672A,147.6
3673,147.6
3674,147.7
3675,147.7
3676,147.7
3677,147.7
3678,147.7
3679,147.7
3680,147.7
3681,147.8
3682,147.9
3683,147.9
3684,147.9
3685,147.9
3686,147.9
3687,147.9
3687A,147.9
3688,148.0
3689,148.0
3690,148.0
3691,148.0
3692,148.0
3693,148.0
3694,148.0
3694A,148.0
3695,148.1
3696,148.1
3697,148.1
3698,148.1
3699,148.2
3700,148.2
3701,148.2
3702,148.2
3703,148.3
3704,148.3
3705,148.3
3706,148.4
3707,148.4
3708,148.4
3709,148.4
3710,148.5
3711,148.5
3712,148.5
3713,148.5
3714,148.6
3715,148.6
3716,148.7
3717,148.8
3718,148.8
3719,148.8
3720,148.8
3721,148.8
3722,148.8
3723,148.9
3724,148.9
3725,148.9
3726,149.0
3726A,149.0
3727,149.0
3728,149.0
3729,149.0
3730,149.1
3731,149.1
3732,149.1
3733,149.1
3734,149.1
3735,149.2
3736,149.2
3737,149.2
3738,149.2
3739,149.2
3740,149.2
3741,149.3
3742,149.4
3743,149.4
3744,149.4
3745,149.4
3746,149.4
3747,149.4
3748,149.4
3749,149.4
