id,Material,Form,Present,Ch.,Ancient,x,Unit,Standard,Description
1,Basalt gn.,32—33,273.6,NA,273.6,2,136.8,Egyptian Kat,Belongs to kat and not drachma; there is not a single drachma weight so finely formed on the domed type which is characteristic of the kat by its purity of outline.
2,Syenite,29,165.8,NA,685.8,5,137.2,Egyptian Kat,"Is of a type much commoner in kats than in drachmae; also the peculiar syenite, white felspar in green-black hornblende, is only known in three other kats (Nos. 45, 100, and 156), and in one of 80-grain standard (No. 481.)"
3,Basalt br.,33,2738.4,NA,2752,20,137.6,Egyptian Kat,Is a kat for the same reasons as No. 1.
4,Basalt br.,21—26,1370.9,NA,1377,10,137.7,Egyptian Kat,More of the kat than of the drachma type.
5,Basalt bl.,33,27.69,NA,2760,2,138.0,Egyptian Kat,As 1.
6,Bronze,92,138.8,NA,138.0,1,138.0,Egyptian Kat,"A peculiar turned piece of bronze, never attached to anything, nor pierced; probably a weight."
7,Syenite bl.,37—40,2759.6,NA,2763,20,138.1,Egyptian Kat,might be drachma weights by their form; but are beyond a likely range of drachma.
8,Basalt br.,21—29,276.5,NA,276.5,2,138.2,Egyptian Kat,might be drachma weights by their form; but are beyond a likely range of drachma.
9,Basalt br.,12,1383.1,NA,1383.1,10,138.3,Egyptian Kat,NA
10,Syenite bl.,38,2768,NA,2768,2,138.4,Egyptian Kat,NA
11,Limestone,31,138.4,NA,138.5,1,138.5,Egyptian Kat,"A peculiar limestone, brownish-white, with fine grey veining: only one other of this colouring and form, No. 208, but not from exactly the same piece of stone. I have a quarter kat from Syria (?) of the same stone, but pyramidal in form."
12,Alabaster,26—27,6919,NA,6933,5,138.7,Egyptian Kat,NA
13,Syenite,27—35,277.5,NA,277.6,2,138.8,Egyptian Kat,"From a Ptolemaic house about the IIIrd cent. B.C., on the east side of the excavated part of the town (find 93). Burnt. With Nos. 65, 281, and 475."
14,Syenite gr.,33,138.9,NA,138.9,1,138.9,Egyptian Kat,NA
15,Basalt bl.,27—33,138.9,NA,138.9,1,138.9,Egyptian Kat,NA
16,Syenite bl.,27,69.5,NA,69.5,½,139.0,Egyptian Kat,NA
17,Bronze,25—36,769.3,14,695,5,139.0,Egyptian Kat,NA
18,Basalt br.,34,695.3,NA,695.3,50,139.1,Egyptian Kat,NA
19,Limestone,22—23,69.6,NA,69.6,½,139.2,Egyptian Kat,Hard grey limestone.
20,Basalt bl.,37,6968,NA,6971,50,139.4,Egyptian Kat,NA
21,Bronze,38,2788,NA,2788.3,20,139.4,Egyptian Kat,NA
22,Basalt bl.,38—44,69.7,NA,69.7,1,139.4,Egyptian Kat,NA
23,Limestone,25—33,27615,NA,27900,200,139.5,Egyptian Kat,"Nummulitic limestone, very fossiliferous. Weathered surface."
24,Limestone,20,208.3,11,279,2,139.5,Egyptian Kat,"Hard dark brown-grey limestone with holes, and a thin crust of white decomposition (?)"
25,Bronze,18—38,2791.8,NA,2794,20,139.7,Egyptian Kat,NA
26,Basalt br.,18—38,2798.7,NA,27487,20,139.9,Egyptian Kat,NA
27,Serpentine,19—23,2798.2,NA,2768,20,139.9,Egyptian Kat,NA
28,Alabaster,36—44,6996.5,NA,699.5,5,139.9,Egyptian Kat,NA
29,Sandstone,38,1398.7,NA,140,10,140.0,Egyptian Kat,NA
30,Alabaster,38,1372.0,28,140,10,140.0,Egyptian Kat,NA
31,Bronze,33,72.9,21,70,5,140.0,Egyptian Kat,NA
32,Bronze,33,77.1,63,140,1,140,Egyptian Kat,NA
33,Syenite bl.,38,139.8,NA,140.0,1,140.0,Egyptian Kat,NA
34,Alabaster,33,139.9,14,140.0,1,140,Egyptian Kat,NA
35,Bronze bl.,52,26.0,2,28.0,⅕,140,Egyptian Kat,"A peculiar black bronze, which throws off the oxide very freely, having a polished black face below it; only found in Nos. 94 and 119, both of this form, and perhaps No. 107."
36,Basalt br.,23—33,2804,NA,2804,2,140.2,Egyptian Kat,NA
37,Basalt bl.,23,1399.4,NA,1403.3,10,140.3,Egyptian Kat,NA
38,Basalt gn.,18,2808,NA,2810,2,140.5,Egyptian Kat,NA
39,Syenite bl.,18,6390,NA,7030,5,140.6,Egyptian Kat,NA
40,Basalt br.,18,633,B,704.0,50,140.8,Egyptian Kat,NA
41,Bronze,33,699.7,NA,704.0,5,140.8,Egyptian Kat,NA
42,Granite red,20—23,70440,NA,70440,500,140.9,Egyptian Kat,"Hammer dressed, without any polish; irregular below."
43,Basalt bl.,23—27,702.5,NA,704.5,5,140.9,Egyptian Kat,NA
44,Bronze,60,1342.7,70,1410,10,141.0,Egyptian Kat,"Soft white limestone, flaky."
45,Syenite gr.,33,282.1,NA,282.1,2,141.1,Egyptian Kat,NA
46,Basalt br.,39,1412.0,NA,1414.2,10,141.4,Egyptian Kat,NA
47,Bronze,33,284.1,NA,282.7,2,141.4,Egyptian Kat,NA
48,Basalt br.,33,283.0,NA,283.0,2,141.5,Egyptian Kat,NA
49,Basalt bl.,27,2827.8,NA,2831.5,20,141.6,Egyptian Kat,NA
50,Hematite br.,1,283.4,NA,283.4,2,141.7,Egyptian Kat,NA
51,Basalt bl.,33,28140,NA,28400,200,142.0,Egyptian Kat,"A fine weight, polished, but chipped."
52,Limestone,11—12,2827.8,NA,2840,20,142.0,Egyptian Kat,Soft white limestone; from Kom Afrin.
53,Basalt br.,26—33,283.2,NA,284.0,2,142.0,Egyptian Kat,NA
54,Bronze,26,144.0,2,142,1,142,Egyptian Kat,NA
55,Syenite bl.,40,284.2,NA,284.2,2,142.1,Egyptian Kat,NA
56,Alabaster,25,1369.2,NA,1422,10,142.2,Egyptian Kat,NA
57,Basalt br.,12,704.7,NA,711,5,142.2,Egyptian Kat,NA
58,Hematite br.,9—39,707.5,NA,711.5,5,142.3,Egyptian Kat,"A natural pebble of hæmatite, ground down on the end of the major axis; light brown crust outside."
59,Syenite gn.,59,7110,NA,7117,50,142.3,Egyptian Kat,A splendid weight of very unusual form for a kat; only No. 44 like it.
60,Bronze L.,36,709.7,NA,712,5,142.4,Egyptian Kat,NA
61,Basalt br.,44100,570.7,NA,570.7,4,142.7,Egyptian Kat,"The only weight with a name on it (see pl. xxii., fig. 100); strange to say, it has been broken off below, and ground down again to a flat bottom, rather roughly, and apparently adjusted to 4 kats. It was probably valued for the sake of the inscription, and therefore readjusted, after being accidentally broken. What its original weight was, is not clear; it is not likely that so little as a fifth of the whole was removed, looking to the traces of fracture and the present shallowness of the weight; yet it is not likely to have lost more than half its bulk, as it would have then been exceptionally high; hence it can hardly have been either 5 or 10 kats. It is a misfortune that this has been readjusted, as it is the only weight which shows its original age—that of Aahmes."
62,Limestone,38,1427.5,NA,1428.0,10,142.8,Egyptian Kat,Very compact hard white limestone; fine work.
63,Alabaster,16—35,713.6,NA,714.0,5,142.8,Egyptian Kat,"Merely a piece of a natural sheet of alabaster, trimmed round."
64,Syenite bl.,38,1428.0,NA,1428.8,10,142.9,Egyptian Kat,NA
65,Syenite,27,285.8,NA,285.8,2,142.9,Egyptian Kat,Same house as No. 13. Burnt.
66,Bronze,32—33,287.5,NA,286.0,2,143.0,Egyptian Kat,NA
67,Basalt bl.,25—33,141.3,NA,143.0,1,143.0,Egyptian Kat,NA
68,Syenite bl.,12—18,1431.0,NA,1431.0,10,143.1,Egyptian Kat,NA
69,Basalt bl.,20,714.2,NA,715.7,5,143.1,Egyptian Kat,NA
70,Basalt bl.,27—33,286.6,NA,286.6,2,143.3,Egyptian Kat,NA
71,Syenite,27,719.1,NA,717.5,5,143.5,Egyptian Kat,From a well filled with burnt earth in the middle of the S. part of the town. Probably about VIth cent. B.C. Burnt. (See No. 83.)
72,Syenite gn.,8,2872.8,NA,2872.8,20,143.6,Egyptian Kat,NA
73,Limestone,27—30,143.7,NA,143.8,1,143.8,Egyptian Kat,"Dark grey hard limestone, white vein on one side."
74,Basalt br.,27,287.3,NA,287.8,2,143.9,Egyptian Kat,NA
75,Basalt bl.,26—27,143.9,NA,143.9,1,143.9,Egyptian Kat,NA
76,Basalt br.,27,717.8,NA,719.9,5,144.0,Egyptian Kat,NA
77,Pyroxene gn.,18,144.0,NA,144.0,1,144.0,Egyptian Kat,Grey-green chatoyant pyroxene. Ptolemaic house W.N.W. of Great Temenos.
78,Bronze,43,76.2,4,72,½,144,Egyptian Kat,"Found with Nos. 161 and 165, at level 400; middle of Vth cent. B.C."
79,Basalt br.,27—33,1436.5,NA,1441,10,144.1,Egyptian Kat,NA
80,Syenite bl.,19—39,7138,NA,7210,50,144.2,Egyptian Kat,NA
81,Basalt bl.,33,288.4,NA,288.4,2,144.2,Egyptian Kat,NA
82,Basalt bl.,25—33,2877.1,NA,2890,20,144.5,Egyptian Kat,NA
83,Basalt br.,26—33,144.6,NA,144.5,1,144.5,Egyptian Kat,Found with No. 71.
84,Sandstone,36,2891.9,NA,2893,20,144.7,Egyptian Kat,NA
85,Bronze,20—40,143.2,NA,1447,1,144.7,Egyptian Kat,NA
86,Basalt bl.,38—39,1448.6,NA,1448.9,10,144.9,Egyptian Kat,NA
87,Syenite,23—27,289.7,NA,289.7,2,144.9,Egyptian Kat,NA
88,Limestone,8—19,289.8,NA,289.8,2,144.9,Egyptian Kat,"White limestone, with brown patch; hard."
89,Bronze,47,72.7,NA,72.5,½,145,Egyptian Kat,NA
90,Basalt br.,33—34,7213,NA,7245,50,145.0,Egyptian Kat,Rough chipped around the sides.
91,Basalt br.,33,8292,B,14500,100,145,Egyptian Kat,NA
92,Basalt br.,27,2900.1,B,2900,20,145,Egyptian Kat,NA
93,Granite gr.,39,2823.5,NA,2890,20,145.0,Egyptian Kat,NA
94,Bronze bl.,52,27.2,2,29.0,⅕,145,Egyptian Kat,NA
95,Basalt bl.,26—27,145.1,NA,145.1,1,145.1,Egyptian Kat,See No. 35.
96,Basalt br.,33,6768,B,7270,53,145.4,Egyptian Kat,NA
97,Porphyry gr.,54,2907.0,NA,2907.5,20,145.4,Egyptian Kat,"Minute felspathic crystals in a grey base, dense."
98,Basalt br.,37—38,727.0,NA,727.0,5,145.4,Egyptian Kat,NA
99,Hematite bl.,11,727.2,NA,727.2,5,145.4,Egyptian Kat,"Iron-black hæmatite, highly polished."
100,Syenite gr.,27,727.0,NA,727.0,5,145.4,Egyptian Kat,NA
101,Porphyry gn.,81,727.6,NA,727.6,5,145.5,Egyptian Kat,Pale green crystals in a dark green base; common in Roman times.
102,Syenite bl.,40—43,2908.3,NA,2912,20,145.6,Egyptian Kat,NA
103,Basalt br.,27—33,2913.3,NA,2915,20,145.7,Egyptian Kat,NA
104,Basalt bl.,18—19,2916.2,NA,2916.2,20,145.8,Egyptian Kat,NA
105,Basalt bl.,26—33,145.8,NA,145.8,1,145.8,Egyptian Kat,NA
106,Basalt br.,16,2910.3,NA,2920,20,146.0,Egyptian Kat,NA
107,Bronze,33—40,638.7,90,730,5,146,Egyptian Kat,"Greyish bronze; broken in two, and part lost."
108,Basalt bl.,26—33,292.5,NA,292.4,2,146.2,Egyptian Kat,NA
109,Syenite bl.,8,731.4,NA,731.6,5,146.3,Egyptian Kat,NA
110,Basalt bl.,25—33,292.5,NA,292.5,2,146.3,Egyptian Kat,NA
111,Limestone,20—40,1439.6,NA,1465,10,146.5,Egyptian Kat,"Hard, white, sub-crystalline limestone; same as Nos. 204 and 253."
112,Basalt bl.,27—33,292.9,NA,293.0,2,146.5,Egyptian Kat,NA
113,Basalt bl.,27—33,2933.5,NA,2934.5,20,146.7,Egyptian Kat,NA
114,Basalt br.,27—35,734.1,NA,734.6,5,146.9,Egyptian Kat,NA
115,Limestone,27—40,518.5,B,1470,10,147,Egyptian Kat,Dark grey compact slaty limestone.
116,Basalt bl.,40—44,147.1,NA,147.1,1,147.1,Egyptian Kat,NA
117,Basalt br.,33—37,2943.0,NA,2944.5,20,147.2,Egyptian Kat,NA
118,Basalt bl.,27,294.4,NA,294.4,2,147.2,Egyptian Kat,NA
119,Bronze bl.,51—52,20.0,NA,29.5,⅕,147.5,Egyptian Kat,"See No. 35; more carbonated than 35 and 95, not cleaning so smoothly."
120,Basalt bl.,38,285.1,NA,285.1,2,147.6,Egyptian Kat,NA
121,Basalt br.,33,147.6,NA,147.6,1,147.6,Egyptian Kat,NA
122,Limestone,40,732.4,NA,7390,50,147.8,Egyptian Kat,"Hard, close white limestone."
123,Syenite br.,38,1476.6,NA,1478.5,10,147.8,Egyptian Kat,NA
124,Syenite bl.,82,738.8,NA,738.8,5,147.8,Egyptian Kat,"A rare form; I have a similar uten in diorite (bought in Cairo, 1884), of 148.07 unit, closely the same as this 147.8."
125,Basalt br.,33,294.9,NA,295.6,2,147.8,Egyptian Kat,NA
126,Limestone,32,445.8,B,740,5,148,Egyptian Kat,Hard white Mokattam limestone.
127,Basalt bl.,33,74.0,NA,74.0,½,148.0,Egyptian Kat,NA
128,Syenite gr.,33,1489.6,NA,1489.9,10,148.1,Egyptian Kat,NA
129,Syenite bl.,2,7408,NA,7408,50,148.2,Egyptian Kat,NA
130,Syenite gr.,43,1482.3,NA,1482.3,10,148.2,Egyptian Kat,NA
131,Basalt br.,33—40,7230,NA,7420,50,148.4,Egyptian Kat,NA
132,Syenite gr.,39,741.8,NA,741.8,5,148.4,Egyptian Kat,"Very fine work, quite uninjured; green-grey syenite, polished."
133,Basalt br.,33,74.3,NA,74.3,½,148.6,Egyptian Kat,NA
134,Basalt bl.,25,742.9,NA,743.9,5,148.8,Egyptian Kat,NA
135,Alabaster,38—43,74.1,NA,74.4,½,148.8,Egyptian Kat,NA
136,Bronze,38,74.7,NA,74.4,½,148.8,Egyptian Kat,NA
137,Syenite gr.,8—11,2910.1,70,2980,20,149,Egyptian Kat,NA
138,Stone br.,41,148.0,NA,149?,1,149?,Egyptian Kat,"Dark brown stone, apparently changed by contact with iron rust, and split on the surface."
139,Basalt br.,27,2989.9,NA,2988,20,149.1,Egyptian Kat,NA
140,Basalt bl.,33,2975.4,NA,2982,20,149.1,Egyptian Kat,NA
141,Basalt bl.,23,2978.1,NA,2982,20,149.1,Egyptian Kat,NA
142,Basalt bl.,83,746.2,NA,746.2,5,149.2,Egyptian Kat,NA
143,Syenite gr.,33,7466,NA,7469,50,149.4,Egyptian Kat,"Very fine work, of the purest domed type of fig. 33; blue-grey syenite, polished."
144,Basalt br.,23—27,7388,NA,7499,50,149.8,Egyptian Kat,NA
145,Syenite gn.,38,2995.1,NA,2997,20,149.8,Egyptian Kat,NA
146,Basalt bl.,33,298.7,NA,299.6,2,149.8,Egyptian Kat,NA
147,Basalt bl.,23,149.8,NA,149.8,1,149.8,Egyptian Kat,NA
148,Bronze L.,33—37,7090,40,750,5,150,Egyptian Kat,NA
149,Basalt bl.,33,299.6,NA,300.0,5,150.0,Egyptian Kat,NA
150,Basalt bl.,27—33,75.2,NA,75.2,½,150.4,Egyptian Kat,NA
151,Bronze,40,303.0,NA,301,2,150.5,Egyptian Kat,NA
152,Granite red,26,75290,NA,75290,500,150.6,Egyptian Kat,"Similar to No. 42, but better worked."
153,Basalt bl.,33,300.4,NA,301.22,2,150.6,Egyptian Kat,NA
154,Syenite pk.,27—37,3013.5,NA,3016.0,20,150.8,Egyptian Kat,NA
155,Syenite bl.,41,75.4,NA,75.4,½,150.8,Egyptian Kat,NA
156,Syenite gr.,31—33,3026,NA,3026,2,151.3,Egyptian Kat,"With reference to this of black and white syenite (see No. 2), a weight similar in form, colour, and high standard (150.6) should be noted in Brit. Mus., with cartouche of Aahmes (XXVIth Dyn.) on the top."
157,Bronze,32,303.2,NA,305,2,152.5,Egyptian Kat,NA
158,Bronze,25—27,151.3,NA,153,1,153,Egyptian Kat,NA
159,Bronze (95),25-26,117.1,NA,116.6,1,116.6,Assyrian Shekel,"This weight with the archaic Greek Σ on the top (Pl. xxii, 95), seems as if it must be attributed to the Assyrian shekel, although it is of lower standard than any other example; the letter, however, points to Sirios. If it had not been for that, it would have been attributable to the very erratic Phœnician shekel, but it would then need H for Hemi. The form of the letter points to the VIth cent. B.C."
160,Bronze,40,29.1,*6,19.5,½,117.,Assyrian Shekel,NA
161,Bronze,44,61.5,3*,58.5,½,117.0,Assyrian Shekel,See No. 78.
162,Bronze,41,60.0,NA,59.0,½,118.0,Assyrian Shekel,"An unusual form, more like a Byzantine solidus, but there is no letter on it, which is always found on solidi."
163,(Stone) red,88,59.1,NA,59.2,½,118.4,Assyrian Shekel,"Dark red stone (limestone?) very hard, but scratched by steel."
164,Bronze,26,60.8,1.4,59.4,1,118.8,Assyrian Shekel,From burnt potter's rubbish in N. part of town; level 370. Vth cent. B.C. (?).
165,Bronze,25-26,117.3,4,119,1,119.,Assyrian Shekel,See No. 78.
166,Alabaster,18-71,598.0,NA,598.0,5,119.6,Assyrian Shekel,NA
167,Marble,29,594.3,NA,599,5,119.8,Assyrian Shekel,"White marble, rather soft, weathered."
168,Limestone,33,121.4,NA,121.4,1,121.4,Assyrian Shekel,Hard white limestone.
169,Bronze,26,61.7,NA,60.7,1,121.4,Assyrian Shekel,From burnt potter's rubbish in N. town. Level 280. VIth cent. B.C.
170,Bronze,32,60.4,1.7,60.7,½,121.4,Assyrian Shekel,NA
171,"Basalt, br.",48,2429.7,NA,2430.4,20,121.5,Assyrian Shekel,NA
172,"Bronze, L.",57,613.6,14,608,5,121.6,Assyrian Shekel,"Hollow bronze case, about two-thirds filled with lead."
173,Bronze,33-37,123.3,NA,121.6,1,121.6,Assyrian Shekel,NA
174,"Basalt, br.",25,2421.7,NA,2437,20,121.8,Assyrian Shekel,NA
175,Alabaster,23-27,609.4,NA,609.6,5,121.9,Assyrian Shekel,NA
176,Bronze,25,122.6,NA,122.0,1,122.0,Assyrian Shekel,"From long house walls, S.W. in town. Vth cent. B.C. (?)."
177,Bronze,33,58.4,2.6,61.0,1,122.0,Assyrian Shekel,NA
178,Bronze,43,20.5,NA,20.4,½,122.4,Assyrian Shekel,NA
179,Bronze,38-43,21.9,1.5,20.4,½,122.4,Assyrian Shekel,NA
180,"Syenite, bl.",42,245.1,NA,245.1,2,122.6,Assyrian Shekel,NA
181,"Basalt, br.",23-27,611.5,NA,613.6,5,122.7,Assyrian Shekel,NA
182,"Basalt, bl.",44,"33,090",B,"37,000",300,123.,Assyrian Shekel,NA
183,Alabaster,45,61.6,NA,61.6,½,123.2,Assyrian Shekel,NA
184,Bronze,43,33.8,3*,30.8,½,123.2,Assyrian Shekel,NA
185,"Syenite, bl.",8-38,3699.3,NA,3701.0,30,123.4,Assyrian Shekel,NA
186,Diorite,18-42,368.7,NA,370.4,30,123.5,Assyrian Shekel,NA
187,Limestone,46,61.4,NA,61.8,½,123.6,Assyrian Shekel,"Light brown and white limestone, soft."
188,Bronze,37-40,577.7,42,620,5,124.,Assyrian Shekel,NA
189,"Basalt, bl.",25-33,242.6,5.4,248.,2,124.0,Assyrian Shekel,NA
190,Bronze,66,127.7,4,124.,1,124.,Assyrian Shekel,NA
191,Bronze,26,125.7,NA,124.0,1,124.0,Assyrian Shekel,NA
192,"Bronze, L.",26,249.3,NA,249,2,124.5,Assyrian Shekel,NA
193,Bronze,51,24.9,1,24.9,½,124.5,Assyrian Shekel,"From middle of E. side of town. Level 340. Early VIth cent. B.C. The fraction of one-fifth of the shekel appears to be unlikely, but there is another, No. 271, and another of the same form, but one-fourth shekel, No. 270; and the form is essentially Syrian. It will be observed that the three kat weights of this type have more ridge in the middle, and are of black bronze, unlike these. I have also a one shekel, exactly of this type, and bronze (bought in Cairo, 1885), and a bronze two shekel, pierced at one end, from Beirut."
194,Limestone,19-33,592.8,32,623,5,124.6,Assyrian Shekel,Soft decaying limestone.
195,Alabaster,12-24,622.4,NA,622.8,5,124.6,Assyrian Shekel,NA
196,Bronze,57,251.3*,NA,249.6,2,124.8,Assyrian Shekel,NA
197,Bronze,66,120.7,43,125.0,10,125.,Assyrian Shekel,NA
198,Bronze,19-27,238.6,11,250,2,125.,Assyrian Shekel,NA
199,Bronze,26-33,238.4,13,251,2,125.5,Assyrian Shekel,NA
200,"Basalt, br.",38,1504.5,NA,1507,12,125.6,Assyrian Shekel,NA
201,"Porphyry, gn.",4-7,377.5,NA,377.5,30,125.8,Assyrian Shekel,"Black-green porphyry, with grey-green crystals."
202,Bronze,33-40,630.6,*,629.,5,125.8,Assyrian Shekel,NA
203,Limestone,27,2506.6,NA,2520,20,126.0,Assyrian Shekel,"Hard white limestone, weathering brown and smooth; Mokattam stone (?)."
204,Limestone,14,756.5,NA,756.0,6,126.0,Assyrian Shekel,"Hard white limestone (see No. 111). Found with large find of bronzes, middle of IIIrd cent. B.C."
205,Lead,63,385.4,36,378,3,126.,Assyrian Shekel,"Found in temenos of Apollo, with drab bowls, painted with eyes. End of VIth cent. B.C."
206,Bronze,25,20.8,5,21.0,½,126.,Assyrian Shekel,NA
207,"Basalt, br.",38,1259.2,NA,1261.6,10,126.2,Assyrian Shekel,NA
208,Limestone,31,249.9,NA,252.5,2,126.2,Assyrian Shekel,See No. 11.
209,"Basalt, bl.",36,63.1,NA,63.1,1,126.2,Assyrian Shekel,NA
210,"Basalt, br.",12-27,252.9,NA,252.9,2,126.5,Assyrian Shekel,NA
211,Bronze,37,121.0,NA,126.5,1,126.5,Assyrian Shekel,NA
212,"Basalt, br.",33,1517.1,NA,1519.3,12,126.6,Assyrian Shekel,NA
213,"Bronze, L.",33,1281.0,NA,1247,10,126.7,Assyrian Shekel,Found with No. 237; both of fine form.
214,Alabaster,23-27,252.2,NA,253.4,2,126.7,Assyrian Shekel,NA
215,"Basalt, bl.",12,2527.2,NA,2536,20,126.8,Assyrian Shekel,NA
216,Alabaster,30,126.5,NA,126.8,1,126.8,Assyrian Shekel,NA
