no;form;now;ch;original;x;unit;detail
5053;66;297.8;5.4;296;2;148.0;DEFENEH
d;33;299.0;3.;296;2;;
d;333;297.8;3.7;296;2;;
5054;873;301;7.;296;2;;LEAD PLUMMET
5055;346;592.6;3.3;592;4;;DEFENEH
5056;262;712.9;30;740;5;;
d;338;300.0;3.;297;2;.5;
d;337;744.8;1.7;743;5;.6;
d;337;742.2;4.;744;5;.8;
5057;337;146.5;2.5;149;1;149.;ALEX. LEAD
5058;425;148.4;.7;149;1;;
5059;353;149.9;1.5;149;1;;
5060;335;150.6;1.2;149;1;;
d;335;151.6;2.;149;1;;
d;353;294.5;7.;298;2;;
d;33;295.1;17.5;298;2;;
5061;32;296.3;4.5;298;2;;
5062;338;297.8;2.;298;2;;
5063;267;731.9;22.;745;5;;
5064;333;744.6;0;745;5;;
5065;206;601.1;17.;596;4;;
5066;36;300.0;2.;298.5;2;.2;
d;335;749.3;3.;746;5;.2;
5067;337;1497.8;5.;1493;10;.3;
5068;900;744.6;5.5;747;5;.4;
5069;267;753.5;6.;747;5;;
5070;623;39.6;1.8;37.5;1/4;150.0;
5071;364;50.6;.4;50;1/3;;
5072;311;50.7;2.8;50;1/3;;
5073;BULL HEAD;75.3;.6;75;1/2;;phi IX
d;338;72.8;2.;75;1/2;;
d;335;74.6;1.1;75;1/2;;
5074;324;75.5;1.5;75;1/2;;
5075;FACE;149.5;1.7;150;1;;
5076;324;149.7;2.;150;1;;
d;339;737.6;11.8;750;5;;
d;338;769.5;20.;750;5;;
d;334;744.4;8.;752;5;.4;
d;337;758.3;6.;752;5;;
5077;353;602.1;.5;602;4;.5;
5078;33;749.8;3.;753.;5;.6;
5079;337;757.3;4.;753;5;;
5080;306;1547.5;41.;1506;10;;
5081;337;75.8;1.5;75.5;1/2;151.0;
5082;SCARB;152.9;1.7;151;1;;SCARAB
5083;FROG;150.3;1.;151;1;;phi IX
5084;144;294.6;10.;302;2;;
d;324;758.5;6.8;755;5;;
5085;335;748.2;7.;755;5;;
d;338;763.6;9.;755;5;;
5086;304;746.8;9.;756;5;.2;
5087;323;306.0;3.;303;2;.5;
5088;33;745.9;12.;758;5;.6;
5089;333;309.0;4.7;304;2;152.;
5090;337;296.8;7.;304;2;;
5091;338;310.6;11.;304;2;;
5092;327;761.0;1.;760;5;;
5093;264;47.0;4.6;51;1/3;153;
5094;33;29710.;1300;31000.;200;155.;HANDLE LOOP
5095;33;315.2;4.4;313.7;2;156.8;MEM. SET OF 4
