no;material;form;grs;x;unit;detail
3201;BAS.;381;2791.3;20;139.6;
3202;BAS.;656;2792.2;20;.6;
3203;BAS.;266;139.7;1;.7;
3204;BK.QTZ.;392;139.7;1;.7;
3205;BAS.;314;1397.1;10;.7;
3206;BK.BAS.;795;2794.;20;.7;-18
;;;3491.5;25;.7;SEE K
3207;GY.SY.;235;13969.;100;.7;
3208;BAS.;397;46.6;1/3;.8;
3209;BK.BAS.;33;69.9;1/2;.8;
3210;BK.STEA.;4;139.8;1;.8;
3211;BAS.;262;279.7;2;.8;
3212;GY.SY.;312;279.7;2;.8;
3213;BAS.;265;699.0;5;.8;
3214;BAS.;373;699.0;5;.8;
3215;LIM.;203;699.0;5;.8;
3216;BAS.;190;1397.6;10;.8;
3217;BAS.;264;1398.4;10;.8;
3218;HAEM.;HIPPO HEAD;1398.4;10;.8;NUBT XVIII phi X
3219;QTZITE;368;6988.;50;.8;
3220;GY.QTZOSE;21;139.9;1;.9;
3221;BAS.;254;279.8;2;.9;
3222;QTZITE;237;13988.;100;.9;
3223;BK.Y.SERP;265;70.0;1/2;140.0;
3224;BAS.;446;140.0;1;.0;
3225;ALAB.;395;140.0;1;.0;
3226;BAS.;63;559.8;4;.0;-1.6
;;;1400.;10;.0;SEE P
3227;BAS.;336;2799.3;20;.0;
3228;BAS.;202;2801.0;20;.0;
3229;RED PORPH.;465;140.1;1;.1;
3230;BAS.;369;280.2;2;.1;
3231;BAS.;428;1401.0;10;.1;
3232;BAS.;263;2802.4;20;.1;
3233;HAEM.;149;2802.9;20;.1;
3234;ALAB.;386;70.1;1/2;.2;
3235;RED HAEM.;802;140.2;1;.2;XVIII
3236;ALAB.;144;2803.8;20;.2;
3237;BAS.;328;2804.1;20;.2;
3238;BAS.;71;14018.;100;.2;
3239;LIM.;RAM;21277.;150;.2;phi XVI
3240;BAS.;344;701.5;5;.3;
3241;ALAB.;368;701.6;5;.3;
3242;BAS.;482;701.7;5;.3;XVIII
3243;BAS.;482;1402.8;10;.3;XVIII
3244;BAS.;392;1403.0;10;.3;
3245;HAEM.;498;280.8;2;.4;XVIII
3246;ALAB.;331;280.8;2;.4;
3247;BAS.;334;280.9;2;.4;
3248;BK.SY.;384;7022.;50;.4;
3249;GY.SY.;429;14039.;100;.4;
3250;HAEM.;657;140.5;1;.5;XVIII
3251;BAS.;27;281.0;2;.5;
3252;BAS.;27;281.0;2;.5;
3253;BAS.;406;281.1;2;.5;MEM.
3254;BAS.;192;1405.0;10;.5;
3255;LIM.;525;1405.5;10;.5;
3256;LIM.;442;28100.;200;.5;-150
3257;BK.JASP.;465;140.6;1;.6;
3258;BAS.;795;703.2;5;.6;no. cell blank in print
3259;BAS.;263;1405.8;10;.6;
3260;BAS.;395;1406.0;10;.6;IIIII
3261;BAS.;352;2812.7;20;.6;
3262;BAS.;425;281.5;2;.7;
3263;BAS.;452;281.5;2;.7;
3264;RED.QTZITE;11;28135.;200;.7;
3265;BK.STEA.;617;70.4;1/2;.8;-.1
