No.,Material,Form,Present,Ch.,Ancient,x,Unit
1,Basalt gn.,32—33,273.6,,273.6,2,136.8
2,Syenite,29,165.8,,685.8,5,137.2
3,Basalt br.,33,2738.4,,2752,20,137.6
4,Basalt br.,21—26,1370.9,,1377,10,137.7
5,Basalt bl.,33,27.69,,2760,2,138.0
6,Bronze,92,138.8,,138.0,1,138.0
7,Syenite bl.,37—40,2759.6,,2763,20,138.1
8,Basalt br.,21—29,276.5,,276.5,2,138.2
9,Basalt br.,12,1383.1,,1383.1,10,138.3
10,Syenite bl.,38,2768,,2768,2,138.4
11,Limestone,31,138.4,,138.5,1,138.5
12,Alabaster,26—27,6919,,6933,5,138.7
13,Syenite,27—35,277.5,,277.6,2,138.8
14,Syenite gr.,33,138.9,,138.9,1,138.9
15,Basalt bl.,27—33,138.9,,138.9,1,138.9
16,Syenite bl.,27,69.5,,69.5,½,139.0
17,Bronze,25—36,769.3,14,695,5,139.0
18,Basalt br.,34,695.3,,695.3,50,139.1
19,Limestone,22—23,69.6,,69.6,½,139.2
20,Basalt bl.,37,6968,,6971,50,139.4
21,Bronze,38,2788,,2788.3,20,139.4
22,Basalt bl.,38—44,69.7,,69.7,1,139.4
23,Limestone,25—33,27615,,27900,200,139.5
24,Limestone,20,208.3,11,279,2,139.5
25,Bronze,18—38,2791.8,,2794,20,139.7
26,Basalt br.,18—38,2798.7,,27487,20,139.9
27,Serpentine,19—23,2798.2,,2768,20,139.9
28,Alabaster,36—44,6996.5,,699.5,5,139.9
29,Sandstone,38,1398.7,,140,10,140.0
30,Alabaster,38,1372.0,28,140,10,140.0
31,Bronze,33,72.9,21,70,5,140.0
32,Bronze,33,77.1,63,140,1,140
33,Syenite bl.,38,139.8,,140.0,1,140.0
34,Alabaster,33,139.9,14,140.0,1,140
35,Bronze bl.,52,26.0,2,28.0,⅕,140
36,Basalt br.,23—33,2804,,2804,2,140.2
37,Basalt bl.,23,1399.4,,1403.3,10,140.3
38,Basalt gn.,18,2808,,2810,2,140.5
39,Syenite bl.,18,6390,,7030,5,140.6
40,Basalt br.,18,633,B,704.0,50,140.8
41,Bronze,33,699.7,,704.0,5,140.8
42,Granite red,20—23,70440,,70440,500,140.9
43,Basalt bl.,23—27,702.5,,704.5,5,140.9
44,Bronze,60,1342.7,70,1410,10,141.0
45,Syenite gr.,33,282.1,,282.1,2,141.1
46,Basalt br.,39,1412.0,,1414.2,10,141.4
47,Bronze,33,284.1,,282.7,2,141.4
48,Basalt br.,33,283.0,,283.0,2,141.5
49,Basalt bl.,27,2827.8,,2831.5,20,141.6
50,Hematite br.,1,283.4,,283.4,2,141.7
51,Basalt bl.,33,28140,,28400,200,142.0
52,Limestone,11—12,2827.8,,2840,20,142.0
53,Basalt br.,26—33,283.2,,284.0,2,142.0
54,Bronze,26,144.0,2,142,1,142
55,Syenite bl.,40,284.2,,284.2,2,142.1
56,Alabaster,25,1369.2,,1422,10,142.2
57,Basalt br.,12,704.7,,711,5,142.2
58,Hematite br.,9—39,707.5,,711.5,5,142.3
